,Adjusted net savings,,,,,,,,,Adolescent fertility rate (women aged 15-19 years),,,,,,,,,Adult literacy rate (both sexes),,,,,,,,,Carbon dioxide emissions per capita,,,,,,,,,Combined gross enrolment ratio in education (both sexes),,,,,,,,,Expenditure on education (% of GDP),,,,,,,,,"Expenditure on health, public (% of GDP)",,,,,,,,,Gender Inequality Index (updated),,,,,,,,,"Gender Inequality Index, value",,,,,,,,
,1980,1990,2000,2005,2006,2007,2008,2009,2010,1980,1990,2000,2005,2006,2007,2008,2009,2010,1980,1990,2000,2005,2006,2007,2008,2009,2010,1980,1990,2000,2005,2006,2007,2008,2009,2010,1980,1990,2000,2005,2006,2007,2008,2009,2010,1980,1990,2000,2005,2006,2007,2008,2009,2010,1980,1990,2000,2005,2006,2007,2008,2009,2010,1980,1990,2000,2005,2006,2007,2008,2009,2010,1980,1990,2000,2005,2006,2007,2008,2009,2010
Country,(% of GNI),(% of GNI),(% of GNI),(% of GNI),(% of GNI),(% of GNI),(% of GNI),(% of GNI),(% of GNI),"(births per 1,000 women aged 15-19)","(births per 1,000 women aged 15-19)","(births per 1,000 women aged 15-19)","(births per 1,000 women aged 15-19)","(births per 1,000 women aged 15-19)","(births per 1,000 women aged 15-19)","(births per 1,000 women aged 15-19)","(births per 1,000 women aged 15-19)","(births per 1,000 women aged 15-19)",(% aged 15 and above),(% aged 15 and above),(% aged 15 and above),(% aged 15 and above),(% aged 15 and above),(% aged 15 and above),(% aged 15 and above),(% aged 15 and above),(% aged 15 and above),(tonnes),(tonnes),(tonnes),(tonnes),(tonnes),(tonnes),(tonnes),(tonnes),(tonnes),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,121.3,..,..,18.2,18.2,28,28,28,28,28,28,28,..,0.2,0,0,0,..,..,..,..,21,..,13.8,50.1,50.1,50.1,50.1,50.1,50.1,1.9,..,..,..,..,..,..,..,..,..,..,..,2.1,2.1,1.8,..,..,..,..,..,..,..,..,..,0.797,..,..,..,..,..,..,..,..,0.797,..,..
Albania,..,5.7,14.4,8.1,8.4,9.3,8.5,..,..,..,..,..,..,..,..,14.2,..,..,..,..,98.7,99,99,99,99.1,99.1,99.1,..,2.3,1,1.4,1.4,..,..,..,..,71.6,68.8,65,67.8,67.8,67.8,67.8,67.8,67.8,4.9,5.9,..,..,..,..,..,..,..,..,..,..,2.6,2.5,2.9,..,..,..,..,..,..,..,..,..,0.473,..,..,..,..,..,..,..,..,0.545,..,..
Algeria,..,12.7,16,15.5,19.1,25.6,21.4,..,..,..,..,..,..,..,..,7.3,..,..,..,49.6,69.9,73.7,74.6,75.4,76.2,76.9,77.6,..,3.1,3.8,4.2,4,..,..,..,..,52.4,63.3,68.1,74,73.6,73.6,73.6,73.6,73.6,..,..,..,..,..,..,4.3,..,..,..,..,..,2.7,3.5,3.6,..,..,..,..,..,..,..,..,..,0.571,..,..,..,..,..,..,..,..,0.594,..,..
Andorra,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,65.3,62.6,65.1,65.1,65.1,65.1,65.1,..,..,..,1.7,2.3,2.6,3.2,..,..,..,..,..,5,5.2,5.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,..,-28,-32.8,-31.7,-17.9,-23.9,-42.6,..,..,..,..,..,..,..,..,123.7,..,..,..,..,67.4,67.4,67.4,67.4,67.4,67.4,67.4,..,0.4,0.7,0.6,0.6,..,..,..,..,..,29.4,..,65.3,65.3,65.3,65.3,65.3,65.3,..,3.9,2.6,2.6,2.6,..,..,..,..,..,..,..,1.6,2.3,2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99,99,99,99,99,99,99,..,4.9,4.5,4.9,5.1,..,..,..,..,..,..,..,..,..,..,..,..,..,2.9,..,..,..,..,..,..,..,..,..,..,..,3.2,3.6,3.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,..,0.8,0.6,5.9,9.3,10.4,7.7,..,..,..,..,..,..,..,..,56.9,..,..,93.9,96.1,97.2,97.5,97.6,97.6,97.7,97.8,97.8,..,3.5,3.8,4.1,4.4,..,..,..,..,69.1,79.5,..,88.6,88.6,88.6,88.6,88.6,88.6,2.6,3.3,4.6,..,4.5,4.9,..,..,..,..,..,..,4.7,4.7,5.1,..,..,..,..,..,..,..,..,..,0.528,..,..,..,..,..,..,..,..,0.534,..,..
Armenia,..,..,-11.3,16,21.2,20.2,18.1,..,..,..,..,..,..,..,..,35.7,..,..,..,98.8,99.4,99.4,99.5,99.5,99.5,99.5,99.6,..,1.1,1.1,1.4,1.5,..,..,..,..,62.9,74.1,75.5,70.9,72.8,74.6,74.6,74.6,74.6,..,7,2.8,2.7,2.7,3,..,..,..,..,..,..,1.8,1.9,2.1,..,..,..,..,..,..,..,..,..,0.509,..,..,..,..,..,..,..,..,0.57,..,..
Australia,..,10.6,14.3,11.3,12.2,15.2,15,..,..,..,..,..,..,..,..,14.9,..,..,..,..,..,..,..,..,..,..,..,..,17.4,17.2,18,18.1,..,..,..,..,72.2,77.8,115.2,113.4,114.2,114.2,114.2,114.2,114.2,5.1,4.5,5,4.8,4.8,4.7,..,..,..,..,..,..,5.8,5.9,6,..,..,..,..,..,..,..,..,..,0.296,..,..,..,..,..,..,..,..,0.296,..,..
Austria,..,14.1,11.7,13.4,14,15,17.6,..,..,..,..,..,..,..,..,12.8,..,..,..,..,..,..,..,..,..,..,..,..,7.9,7.6,8.8,8.6,..,..,..,..,72.2,77.5,90.9,90,90.5,90.5,90.5,90.5,90.5,5.3,5.2,5.7,5.4,5.4,5.4,..,..,..,..,..,..,7.9,7.8,7.7,..,..,..,..,..,..,..,..,..,0.3,..,..,..,..,..,..,..,..,0.3,..,..
Azerbaijan,..,..,-39.4,-8.2,-5.4,-2.1,-0.1,..,..,..,..,..,..,..,..,33.8,..,..,..,..,98.8,99.5,99.5,99.5,99.5,99.5,99.5,..,5.9,3.8,4.2,4.2,..,..,..,..,74,72.1,..,66.2,66.2,66.2,66.2,66.2,66.2,..,7.7,3.9,2.3,2,1.7,1.9,..,..,..,..,..,0.9,0.9,1,..,..,..,..,..,..,..,..,..,0.504,..,..,..,..,..,..,..,..,0.553,..,..
