words,average occurrences,english corpus occurrences,10/23/2012 0:00 - 6:00,10/23/2012 6:00 - 12:00,10/23/2012 12:00 - 18:00,10/23/2012 18:00 - 24:00,10/24/2012 0:00 - 6:00,10/24/2012 6:00 - 12:00,10/24/2012 12:00 - 18:00,10/24/2012 18:00 - 24:00,10/25/2012 0:00 - 6:00,10/25/2012 6:00 - 12:00,10/25/2012 12:00 - 18:00,10/25/2012 18:00 - 24:00,10/26/2012 0:00 - 6:00,10/26/2012 6:00 - 12:00,10/26/2012 12:00 - 18:00,10/26/2012 18:00 - 24:00,10/27/2012 0:00 - 6:00,10/27/2012 6:00 - 12:00,10/27/2012 12:00 - 18:00,10/27/2012 18:00 - 24:00,10/28/2012 0:00 - 6:00,10/28/2012 6:00 - 12:00,10/28/2012 12:00 - 18:00,10/28/2012 18:00 - 24:00,10/29/2012 0:00 - 6:00,10/29/2012 6:00 - 12:00,10/29/2012 12:00 - 18:00,10/29/2012 18:00 - 24:00,10/30/2012 0:00 - 6:00,10/30/2012 6:00 - 12:00,10/30/2012 12:00 - 18:00,10/30/2012 18:00 - 24:00,10/31/2012 0:00 - 6:00,10/31/2012 6:00 - 12:00,10/31/2012 12:00 - 18:00,10/31/2012 18:00 - 24:00,11/1/2012 0:00 - 6:00,11/1/2012 6:00 - 12:00,11/1/2012 12:00 - 18:00,11/1/2012 18:00 - 24:00,11/2/2012 0:00 - 6:00,11/2/2012 6:00 - 12:00,11/2/2012 12:00 - 18:00,11/2/2012 18:00 - 24:00,11/3/2012 0:00 - 6:00,11/3/2012 6:00 - 12:00,11/3/2012 12:00 - 18:00,11/3/2012 18:00 - 24:00,11/4/2012 0:00 - 6:00,11/4/2012 6:00 - 12:00,11/4/2012 12:00 - 18:00,11/4/2012 18:00 - 24:00,11/5/2012 0:00 - 6:00,11/5/2012 6:00 - 12:00,11/5/2012 12:00 - 18:00,11/5/2012 18:00 - 24:00,11/6/2012 0:00 - 6:00,11/6/2012 6:00 - 12:00,11/6/2012 12:00 - 18:00,11/6/2012 18:00 - 24:00,11/7/2012 0:00 - 6:00,11/7/2012 6:00 - 12:00,11/7/2012 12:00 - 18:00,11/7/2012 18:00 - 24:00
president,112.609375,4086,90,135,131,80,72,101,124,132,145,173,223,246,159,127,76,58,65,61,108,112,104,73,108,82,68,116,147,81,90,110,72,61,69,89,130,64,76,184,153,87,94,111,124,90,69,70,135,121,148,194,226,137,110,117,165,205,172,149,82,114,44,42,40,66
vote,66.875,1102,58,51,83,0,46,45,42,0,42,0,62,52,44,46,59,59,56,69,110,45,80,60,59,55,73,33,39,25,36,0,86,94,55,78,64,44,53,33,37,72,63,77,67,120,74,111,102,166,93,68,83,57,91,131,107,74,166,255,183,147,0,0,0,0
more,31.5,40239,47,45,71,0,26,37,47,0,0,0,0,0,0,0,0,28,24,36,0,26,0,58,0,0,24,0,0,0,0,0,0,0,0,48,53,35,26,34,0,45,35,46,0,26,30,0,27,0,0,0,0,51,31,0,0,68,59,0,0,0,224,229,265,215
years,26.640625,13526,38,0,0,0,0,25,51,0,0,0,0,0,0,0,0,0,0,0,45,31,24,96,0,0,27,0,0,0,0,0,0,37,0,0,28,0,0,29,0,0,27,0,0,0,0,0,0,0,0,126,0,72,0,24,0,0,55,0,0,39,226,230,263,212
out,24.1875,121867,0,0,0,0,23,41,0,0,36,0,44,0,25,42,0,29,0,43,0,38,39,62,0,0,27,0,37,26,23,106,78,68,36,44,39,0,26,62,41,0,28,0,0,26,0,50,63,51,37,29,0,0,0,51,0,44,0,65,69,0,0,0,0,0
voting,20.34375,132,0,0,0,0,26,0,0,0,0,0,0,0,0,44,29,39,22,29,42,32,24,0,55,38,43,32,33,0,0,0,37,0,0,0,0,0,0,32,38,43,33,0,65,131,40,58,0,33,44,38,0,0,31,55,0,0,42,46,48,0,0,0,0,0
know,20.046875,241548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,25,0,0,0,0,0,0,0,29,0,0,0,0,0,0,82,47,39,0,48,31,46,56,39,27,0,0,0,0,0,93,48,70,45,77,117,98,83,70,0,0,50,0,35,0,0,0,0
four,19.78125,6014,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,37,37,31,0,0,0,0,0,0,0,0,117,0,66,0,0,0,0,51,0,0,0,201,201,231,178
election,18.703125,442,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,47,0,0,32,0,30,0,0,40,50,37,45,0,57,44,0,56,52,30,0,0,23,28,0,0,0,28,36,97,58,61,62,38,0,53,89,58,0,0,0,0,0
up,17.78125,103826,0,35,0,0,0,31,51,0,0,0,0,49,23,0,0,37,25,0,34,0,28,0,0,28,0,0,35,36,0,0,29,0,34,0,0,35,32,0,61,39,29,0,38,22,27,29,28,61,63,38,0,0,0,67,35,0,0,38,0,0,0,21,0,0
now,16.859375,100909,0,0,0,0,27,30,0,0,0,0,0,0,23,0,70,28,0,0,0,0,24,0,39,27,40,0,39,0,32,90,45,0,0,0,27,0,0,0,42,31,31,0,0,0,0,0,0,0,0,41,0,55,40,52,0,62,44,0,39,83,18,0,0,0
benghazi,16.171875,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,137,62,96,0,77,41,57,0,59,55,47,45,30,33,0,41,63,44,0,0,0,50,0,0,24,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forward,15.21875,1827,0,0,92,59,22,0,0,0,0,0,0,0,0,33,38,29,44,0,0,0,0,0,0,0,0,50,0,28,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,57,62,111,131,100,41,0,0,0,0,0,0
today,14.796875,10561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,27,0,40,41,55,23,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,96,38,49,0,0,48,0,0,135,0,76,0,0,0,0,43,92,63,58,0,0,0,0
go,11.5,100905,0,41,0,0,21,28,34,0,0,0,0,42,24,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,103,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,26,27,0,0,0,0,0,0,0,103,85,39,31,0,22,0,0
make,11.484375,46154,0,0,0,0,0,0,0,0,0,0,57,50,0,0,0,0,0,28,44,27,0,0,42,54,29,0,0,26,33,0,33,0,0,28,0,49,30,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,42,44,34,0,0,0,0
sandy,11.296875,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,114,71,43,73,123,91,0,47,40,52,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://t.co/bAJE6Vom,11.203125,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,176,205,156
4,10.765625,30,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,52,37,39,65,0,0,30,0,0,0,31,0,0,0,0,0,0,37,0,0,0,0,0,82,0,25,29,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,26,39,37,42
need,9.40625,46040,0,0,106,65,48,32,0,0,0,0,0,0,0,0,53,30,26,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,54,41,33,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
agree,8.984375,2584,0,0,59,45,22,34,0,47,0,0,47,0,24,0,43,43,42,26,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,44,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0
ve,8.4375,189,0,0,0,0,0,39,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,32,0,0,0,0,38,0,0,0,51,0,0,0,0,0,27,49,0,0,90,40,0,0,94,0,0,0,0,0,0,0,0
oh,7.703125,148780,0,0,0,0,0,0,0,0,306,102,0,33,0,25,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
early,7.375,2719,0,0,0,0,21,0,0,0,0,0,60,46,25,30,0,0,0,38,0,0,0,0,40,28,0,34,0,0,0,0,30,0,0,31,36,0,0,0,0,26,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
day,7.0625,21860,0,0,0,0,68,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,29,72,46,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,0,0,67,0,0,0,0,0,0
help,5.9375,29825,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,22,23,0,0,0,0,0,37,22,0,0,0,0,0,63,43,0,38,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,30,0,0,0,40,0,0,0,0,0,0
change,5.84375,8176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,27,44,29,0,0,56,0,0,54,0,99,0,0,0,0,0,0,0
america,5.8125,1187,0,47,0,0,0,0,0,0,0,0,0,53,25,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,26,0,0,0,0,0,0,47,0,0,0,0,49,0,0,0,0,0,0,34
forward2012,5.765625,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,63,0,0,0,0,0,0,0,39,31,0,41,0,25,51,0,0,56,33,0,0,0,0,0,0,0,0,0,0,0
don,5.734375,820,0,0,42,0,0,26,0,0,0,0,0,44,30,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,43,42,0,0,0,0,0,0
see,5.59375,75968,0,0,0,81,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,52,0,0,30,0,0,0,0,0,0,0,28,0,0,0,0,0,42,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
keep,5.5625,21842,0,0,82,48,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,45,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,26,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0
obama2012,5.1875,30,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,32,0,0,30,0,0,0,0,29,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,26,25,0,0,0,0,0,0,0,0,59,0,34,0,0,0,0,0
failed,5.15625,764,0,0,54,47,0,32,0,0,0,0,0,0,0,0,35,0,28,31,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,47,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plan,5.078125,5557,0,67,99,0,24,33,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
women,4.921875,4441,0,0,0,0,0,0,0,0,0,40,114,0,24,0,0,0,0,25,46,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
