words,average occurrences,english corpus occurrences,10/23/2012 0:00 - 6:00,10/23/2012 6:00 - 12:00,10/23/2012 12:00 - 18:00,10/23/2012 18:00 - 24:00,10/24/2012 0:00 - 6:00,10/24/2012 6:00 - 12:00,10/24/2012 12:00 - 18:00,10/24/2012 18:00 - 24:00,10/25/2012 0:00 - 6:00,10/25/2012 6:00 - 12:00,10/25/2012 12:00 - 18:00,10/25/2012 18:00 - 24:00,10/26/2012 0:00 - 6:00,10/26/2012 6:00 - 12:00,10/26/2012 12:00 - 18:00,10/26/2012 18:00 - 24:00,10/27/2012 0:00 - 6:00,10/27/2012 6:00 - 12:00,10/27/2012 12:00 - 18:00,10/27/2012 18:00 - 24:00,10/28/2012 0:00 - 6:00,10/28/2012 6:00 - 12:00,10/28/2012 12:00 - 18:00,10/28/2012 18:00 - 24:00,10/29/2012 0:00 - 6:00,10/29/2012 6:00 - 12:00,10/29/2012 12:00 - 18:00,10/29/2012 18:00 - 24:00,10/30/2012 0:00 - 6:00,10/30/2012 6:00 - 12:00,10/30/2012 12:00 - 18:00,10/30/2012 18:00 - 24:00,10/31/2012 0:00 - 6:00,10/31/2012 6:00 - 12:00,10/31/2012 12:00 - 18:00,10/31/2012 18:00 - 24:00,11/1/2012 0:00 - 6:00,11/1/2012 6:00 - 12:00,11/1/2012 12:00 - 18:00,11/1/2012 18:00 - 24:00,11/2/2012 0:00 - 6:00,11/2/2012 6:00 - 12:00,11/2/2012 12:00 - 18:00,11/2/2012 18:00 - 24:00,11/3/2012 0:00 - 6:00,11/3/2012 6:00 - 12:00,11/3/2012 12:00 - 18:00,11/3/2012 18:00 - 24:00,11/4/2012 0:00 - 6:00,11/4/2012 6:00 - 12:00,11/4/2012 12:00 - 18:00,11/4/2012 18:00 - 24:00,11/5/2012 0:00 - 6:00,11/5/2012 6:00 - 12:00,11/5/2012 12:00 - 18:00,11/5/2012 18:00 - 24:00,11/6/2012 0:00 - 6:00,11/6/2012 6:00 - 12:00,11/6/2012 12:00 - 18:00,11/6/2012 18:00 - 24:00,11/7/2012 0:00 - 6:00,11/7/2012 6:00 - 12:00,11/7/2012 12:00 - 18:00,11/7/2012 18:00 - 24:00
vote,57.796875,1102,0,0,78,0,32,42,34,30,22,0,58,45,35,50,98,51,55,35,52,37,32,46,36,36,27,36,37,37,34,39,0,39,35,28,42,27,35,32,0,42,34,54,0,111,52,139,82,95,227,111,60,0,61,219,134,195,121,268,263,79,0,0,0,0
tcot,40.09375,30,0,38,26,62,34,41,0,33,36,58,68,29,38,61,39,38,58,56,0,89,269,107,88,0,0,36,35,38,92,33,44,33,85,57,79,49,112,60,37,0,46,0,0,49,38,54,37,64,33,79,38,0,31,39,0,0,0,0,0,0,0,0,0,0
america,35.953125,1187,61,67,48,63,34,38,0,39,36,33,23,102,52,49,0,0,78,43,0,58,40,45,43,49,43,35,0,0,0,0,0,24,24,0,0,46,33,22,0,0,24,0,79,57,38,75,44,45,52,30,28,0,36,96,61,53,40,70,97,28,57,0,34,29
president,28.390625,4086,40,45,40,31,28,30,34,36,38,0,0,0,33,28,0,56,49,94,36,38,25,36,26,0,33,0,27,27,28,0,0,0,0,43,0,31,0,29,35,0,30,51,0,40,43,0,29,47,32,41,46,108,63,70,39,44,49,0,0,0,37,0,27,25
romneyryan2012,21.046875,30,0,31,0,37,0,53,0,0,0,58,37,30,44,49,0,0,0,0,0,0,40,52,54,0,0,0,0,0,23,0,0,0,27,67,49,33,23,37,28,31,0,0,44,52,34,48,36,72,28,0,43,0,26,44,33,0,31,53,0,0,0,0,0,0
paulryanvp,15.890625,30,0,0,26,43,38,33,37,34,31,52,43,0,0,42,62,0,0,0,0,0,45,0,32,0,0,0,0,0,31,0,0,0,0,0,0,33,30,22,31,0,34,0,0,0,27,69,36,39,29,0,0,0,0,0,0,0,0,52,0,0,0,42,0,24
today,14.25,10561,0,0,0,0,0,0,0,0,0,0,27,0,0,0,28,0,0,0,56,0,0,0,0,0,0,0,0,0,0,77,35,0,0,25,0,0,0,0,0,0,0,129,44,72,0,0,33,0,0,0,0,0,0,32,0,0,36,150,139,29,0,0,0,0
sandy,14.171875,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,45,55,82,63,61,70,118,100,51,52,30,40,25,27,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ohio,13.3125,133,0,0,0,0,0,0,0,0,0,0,38,36,28,52,0,0,0,0,0,0,0,0,34,0,29,44,29,59,33,92,0,23,0,29,28,24,22,0,39,0,0,0,0,112,61,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
election,13.203125,442,0,25,0,0,28,20,0,0,0,42,0,0,0,0,26,0,56,0,0,0,0,0,24,0,52,0,0,0,0,0,35,0,25,0,0,29,35,33,0,0,0,0,68,0,0,59,38,0,0,30,0,0,31,0,72,0,29,0,0,0,28,30,30,0
